code,male,female,population,household,schoolDistrict
01 平米地区,1534,1794,3328,1581.0,平米小学校
02 定塚地区,4404,4902,9306,4005.0,定塚小学校
03 下関地区,4423,4544,8967,3966.0,下関小学校
04 博労地区,5303,5794,11097,4622.0,博労小学校
05 横田地区,2771,3025,5796,2288.0,横田小学校
06 西条地区,3380,3535,6915,2703.0,西条小学校
07 川原地区,1530,1674,3204,1329.0,川原小学校
08 成美地区,3826,4311,8137,3502.0,成美小学校
09 二上地区,1251,1348,2599,1010.0,万葉小学校
10 能町地区,5658,5872,11530,4528.0,能町小学校
11 牧野地区,4753,4949,9702,3552.0,牧野小学校
12 野村地区,8613,9131,17744,7132.0,野村小学校
13 二塚地区,1757,1875,3632,1235.0,二塚小学校
14 佐野地区,3243,3598,6841,2456.0,南条小学校
15 福田地区,1322,1337,2659,906.0,南条小学校
16 小勢地区,472,479,951,276.0,小勢小学校
17 立野地区,1565,1710,3275,1201.0,立野小学校
18 東五位地区,2392,2545,4937,1748.0,東五位小学校
18 東五位地区,2392,2545,4937,1748.0,千鳥丘小学校
19 石堤地区,599,608,1207,431.0,石堤小学校
20 国吉地区,1698,1796,3494,1199.0,国吉小学校
21 守山地区,1245,1371,2616,936.0,万葉小学校
22 伏木地区,5287,5837,11124,4460.0,伏木小学校
22 伏木地区,5287,5837,11124,4460.0,古府小学校
23 太田地区,1193,1366,2559,888.0,太田小学校
24 戸出地区,6802,6863,13665,5135.0,戸出東部小学校
24 戸出地区,6802,6863,13665,5135.0,戸出西部小学校
25 中田地区,2989,3219,6208,2242.0,中田小学校
26 福岡町福岡地区,1473,1636,3109,1163.0,福岡小学校
27 福岡町山王地区,1951,1999,3950,1284.0,福岡小学校
28 福岡町大滝地区,1210,1226,2436,820.0,福岡小学校
29 福岡町西五位地区,922,945,1867,620.0,福岡小学校
30 福岡町五位山地区,198,210,408,170.0,福岡小学校
31 福岡町赤丸地区,567,597,1164,410.0,福岡小学校
木津地区　※,2834,3064,5898,2213.0,木津小学校
