Year,Ct,Yt,It,Gt
1965,57176.9,89662.8,10325.1,26408.3
1966,63042.7,100033.0,12874.9,29014
1967,69239.4,110974.0,16394.3,32237.9
1968,75771.6,125997.0,19831.2,36869.6
1969,83092.1,141402.0,25595.8,39998.9
1970,88847.4,153915.0,28909.3,45352.6
1971,94196.4,161688.0,27715,47546.6
1972,103848.0,176628.0,29409.4,53396.2
1973,110290.0,184569.0,33396.1,56225.9
1974,111694.0,183798.0,30345.5,52550.3
1975,115765.0,190875.0,29288.2,53985.8
1976,120366.0,199630.0,29478.3,56413.9
1977,125394.0,210235.0,29722.5,60068.7
1978,133154.0,221243.0,32393.5,64567
1979,140184.0,232878.0,35569.1,65560.4
1980,141398.0,242131.0,38293.4,63846.2
1981,144257.0,250159.0,39917,64394.4
1982,150360.0,258241.0,40698,64297.5
1983,154910.0,267700.0,42711.7,63274.3
1984,158910.0,281399.0,47631.2,64695.8
1985,163395.0,293982.0,53899.5,64404
1986,169016.0,301846.0,56236,68598.6
1987,176556.0,318109.0,61897.9,74350.9
1988,185318.0,334969.0,72617.1,76545.4
1989,191233.0,351877.0,84584.1,77764.1
